Zip_Code,Place Name,State Abbreviation,State,County,Pop_2011_2015
Z95444,Graton,CA,California,Sonoma,710
Z95445,Gualala,CA,California,Mendocino,1728
Z95446,Guerneville,CA,California,Sonoma,4281
Z95448,Healdsburg,CA,California,Sonoma,17631
Z95449,Hopland,CA,California,Mendocino,1708
Z95450,Jenner,CA,California,Sonoma,262
Z95451,Kelseyville,CA,California,Lake,12212
Z95452,Kenwood,CA,California,Sonoma,1364
Z95453,Lakeport,CA,California,Lake,10244
Z95454,Laytonville,CA,California,Mendocino,2075
Z95456,Little River,CA,California,Mendocino,731
Z95457,Lower Lake,CA,California,Lake,3162
Z95458,Lucerne,CA,California,Lake,3176
Z95459,Manchester,CA,California,Mendocino,581
Z95460,Mendocino,CA,California,Mendocino,2364
Z95461,Middletown,CA,California,Lake,3298
Z95462,Monte Rio,CA,California,Sonoma,1216
Z95463,Navarro,CA,California,Mendocino,29
Z95464,Nice,CA,California,Lake,2295
Z95465,Occidental,CA,California,Sonoma,2237
Z95466,Philo,CA,California,Mendocino,864
Z95467,Hidden Valley Lake,CA,California,Lake,5986
Z95468,Point Arena,CA,California,Mendocino,1156
Z95469,Potter Valley,CA,California,Mendocino,1963
Z95470,Redwood Valley,CA,California,Mendocino,7009
Z95471,Rio Nido,CA,California,Sonoma,536
Z95472,Sebastopol,CA,California,Sonoma,30281
Z95476,Sonoma,CA,California,Sonoma,37646
Z95482,Ukiah,CA,California,Mendocino,32892
Z95485,Upper Lake,CA,California,Lake,2492
Z95486,Villa Grande,CA,California,Sonoma,40
Z95488,Westport,CA,California,Mendocino,357
Z95490,Willits,CA,California,Mendocino,12661
Z95492,Windsor,CA,California,Sonoma,29486
Z95493,Witter Springs,CA,California,Lake,288
Z95494,Yorkville,CA,California,Mendocino,112
Z95497,The Sea Ranch,CA,California,Sonoma,1068
Z95501,Eureka,CA,California,Humboldt,23689
Z95503,Eureka,CA,California,Humboldt,25438
Z95511,Alderpoint,CA,California,Humboldt,430
Z95514,Blocksburg,CA,California,Humboldt,215
Z95519,Mckinleyville,CA,California,Humboldt,18538
Z95521,Arcata,CA,California,Humboldt,20930
Z95524,Bayside,CA,California,Humboldt,1956
Z95525,Blue Lake,CA,California,Humboldt,1745
Z95526,Bridgeville,CA,California,Humboldt,213
